# session_id,20260627T224138Z-seed
# base_commit,seed
# exported_by,
# exported_at,
# tool_version,ec-image-reconciler-csv-v1
record_id,mutcd_code,description,category,word_image,folder_image,image_source,folder_width,folder_height,bg_removed,hq_status,first_assessment,first_assessment_reasons,final_verdict,note,reviewer,reviewed_at
image764.png,R3-2,No left turn,REGULATORY SIGNS,word_images/image764.png,REGULATORY_SIGNS/R3-2.png,docx_embedded,230,230,True,docx,ok,docx source; 230x230,,,,
image735.png,R3-2a,"No left turn for train (Activated, Blank-Out)",REGULATORY SIGNS,word_images/image735.png,REGULATORY_SIGNS/R3-2a.png,docx_embedded,230,286,True,docx,ok,docx source; 230x286,,,,
image739.png,R3-3,No turns,REGULATORY SIGNS,word_images/image739.png,REGULATORY_SIGNS/R3-3.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image862.png,R3-4,No U-turn,REGULATORY SIGNS,word_images/image862.png,REGULATORY_SIGNS/R3-4.png,docx_embedded,230,230,True,docx,ok,docx source; 230x230,,,,
image865.png,R3-5R,Right turn only,REGULATORY SIGNS,word_images/image865.png,REGULATORY_SIGNS/R3-5R.png,docx_embedded,230,274,False,docx,ok,docx source; 230x274,,,,
image871.png,R3-5L,Left turn only,REGULATORY SIGNS,word_images/image871.png,REGULATORY_SIGNS/R3-5L.png,docx_embedded,230,274,False,docx,ok,docx source; 230x274,,,,
image876.png,R3-5a,Straight through only,REGULATORY SIGNS,word_images/image876.png,REGULATORY_SIGNS/R3-5a.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image883.png,R3-5bP,Left lane (plaque),REGULATORY SIGNS,word_images/image883.png,REGULATORY_SIGNS/R3-5bP.png,docx_embedded,230,96,False,docx,ok,docx source; 230x96,,,,
image881.png,R3-5cP,Hov 2+ (plaque),REGULATORY SIGNS,word_images/image881.png,REGULATORY_SIGNS/R3-5cP.png,docx_embedded,230,118,True,docx,ok,docx source; 230x118,,,,
image853.png,R3-5dP,Taxi lane (plaque),REGULATORY SIGNS,word_images/image853.png,REGULATORY_SIGNS/R3-5dP.png,docx_embedded,230,94,False,docx,ok,docx source; 230x94,,,,
image855.png,R3-5fP,Right lane (plaque),REGULATORY SIGNS,word_images/image855.png,REGULATORY_SIGNS/R3-5fP.png,docx_embedded,230,96,False,docx,ok,docx source; 230x96,,,,
image857.png,R3-5gP,Bus lane (plaque),REGULATORY SIGNS,word_images/image857.png,REGULATORY_SIGNS/R3-5gP.png,docx_embedded,230,94,True,docx,ok,docx source; 230x94,,,,
image819.png,R3-5hP,Bike lane (plaque),REGULATORY SIGNS,word_images/image819.png,REGULATORY_SIGNS/R3-5hP.png,docx_embedded,230,80,False,docx,ok,docx source; 230x80,,,,
image823.png,R3-6R,"Optional movement lane control, straight through and right turn",REGULATORY SIGNS,word_images/image823.png,REGULATORY_SIGNS/R3-6R.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image829.png,R3-6L,"Optional movement lane control, straight through and left turn",REGULATORY SIGNS,word_images/image829.png,REGULATORY_SIGNS/R3-6L.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image831.png,R3-6a,"Optional movement lane control, U or left turn",REGULATORY SIGNS,word_images/image831.png,REGULATORY_SIGNS/R3-6a.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image836.png,R3-6b,"Optional movement lane control, double left turns",REGULATORY SIGNS,word_images/image836.png,REGULATORY_SIGNS/R3-6b.png,docx_embedded,230,274,False,docx,ok,docx source; 230x274,,,,
image837.png,R3-7R,Right lane must turn right,REGULATORY SIGNS,word_images/image837.png,REGULATORY_SIGNS/R3-7R.png,docx_embedded,230,228,True,docx,ok,docx source; 230x228,,,,
image812.png,R3-7L,Left lane must turn left,REGULATORY SIGNS,word_images/image812.png,REGULATORY_SIGNS/R3-7L.png,docx_embedded,230,230,True,docx,ok,docx source; 230x230,,,,
image814.png,R3-7aP,Except buses (plaque),REGULATORY SIGNS,word_images/image814.png,REGULATORY_SIGNS/R3-7aP.png,docx_embedded,230,118,False,docx,ok,docx source; 230x118,,,,
image815.png,R3-7bP,Except bicycles (plaque),REGULATORY SIGNS,word_images/image815.png,REGULATORY_SIGNS/R3-7bP.png,docx_embedded,230,118,False,docx,ok,docx source; 230x118,,,,
image816.png,R3-8R,Advance intersection lane control (two lanes) (right),REGULATORY SIGNS,word_images/image816.png,REGULATORY_SIGNS/R3-8R.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image951.png,R3-8L,Advance intersection lane control (two lanes) (left),REGULATORY SIGNS,word_images/image951.png,REGULATORY_SIGNS/R3-8L.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image947.png,R3-8aR,Advance intersection lane control (three lanes) (right),REGULATORY SIGNS,word_images/image947.png,REGULATORY_SIGNS/R3-8aR.png,docx_embedded,230,146,True,docx,ok,docx source; 230x146,,,,
image954.png,R3-8aL,Advance intersection lane control (three lanes) (left),REGULATORY SIGNS,word_images/image954.png,REGULATORY_SIGNS/R3-8aL.png,docx_embedded,230,146,True,docx,ok,docx source; 230x146,,,,
image1013.png,R3-8b,Advance intersection lane control (three lanes),REGULATORY SIGNS,word_images/image1013.png,REGULATORY_SIGNS/R3-8b.png,docx_embedded,230,146,True,docx,ok,docx source; 230x146,,,,
image1011.png,R3-8xa,Advance intersection lane control with bike lane,REGULATORY SIGNS,word_images/image1011.png,REGULATORY_SIGNS/R3-8xa.png,docx_embedded,230,166,True,docx,ok,docx source; 230x166,,,,
image1019.png,R3-8xb,Advance intersection lane control with bike lane,REGULATORY SIGNS,word_images/image1019.png,REGULATORY_SIGNS/R3-8xb.png,docx_embedded,230,166,True,docx,ok,docx source; 230x166,,,,
image1016.png,R3-8xc,Advance intersection lane control with bike lane,REGULATORY SIGNS,word_images/image1016.png,REGULATORY_SIGNS/R3-8xc.png,docx_embedded,230,130,False,docx,ok,docx source; 230x130,,,,
image1003.png,R3-8zd,Advance circular intersection lane control (2 lanes),REGULATORY SIGNS,word_images/image1003.png,REGULATORY_SIGNS/R3-8zd.png,docx_embedded,230,230,True,docx,ok,docx source; 230x230,,,,
image999.png,R3-8ze,Advance circular intersection lane control (2 lanes),REGULATORY SIGNS,word_images/image999.png,REGULATORY_SIGNS/R3-8ze.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image1007.png,R3-8zf,Advance circular intersection lane control (2 lanes),REGULATORY SIGNS,word_images/image1007.png,REGULATORY_SIGNS/R3-8zf.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image1006.png,R3-8zg,Advance circular intersection lane control (2 lanes),REGULATORY SIGNS,word_images/image1006.png,REGULATORY_SIGNS/R3-8zg.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image997.png,R3-9a,Two-way left turn only (overhead),REGULATORY SIGNS,word_images/image997.png,REGULATORY_SIGNS/R3-9a.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image994.png,R3-9b,Two-way left turn only (post- mounted),REGULATORY SIGNS,word_images/image994.png,REGULATORY_SIGNS/R3-9b.png,docx_embedded,230,342,True,docx,ok,docx source; 230x342,,,,
image917.png,R3-9cP,Begin (plaque),REGULATORY SIGNS,word_images/image917.png,REGULATORY_SIGNS/R3-9cP.png,docx_embedded,230,94,True,docx,ok,docx source; 230x94,,,,
image904.png,R3-9dP,End (plaque),REGULATORY SIGNS,word_images/image904.png,REGULATORY_SIGNS/R3-9dP.png,docx_embedded,230,96,True,docx,ok,docx source; 230x96,,,,
