category,mutcd_code,occurrence,output_relpath,role,role_index,row_index,source_type,source_docx,source_partname,source_rid,source_web_url,bg_removed,width,height,sha256,fallback_relpath,fallback_sha256,source_web_provider,max_dim
WARNING_SIGNS,W11-22,1,WARNING_SIGNS/W11-22.png,image,1,690,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image559.png,rId715,,True,230,229,43475d8342480c1e4850def2f9119d6ff4727038cd2a292b5691964668abc1aa,,,,230
WARNING_SIGNS,W12-1,1,WARNING_SIGNS/W12-1.png,image,1,691,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image561.png,rId716,,True,230,227,069dff59a7622e1dd0edfe9645c6e7fd9e7e7df22fe70f3a90d8a47cce793565,,,,230
WARNING_SIGNS,W12-2,1,WARNING_SIGNS/W12-2.png,image,1,692,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image560.png,rId717,,True,230,230,9fe45d2e7cf3ef7e04d9e831ad8cae5fe190ca6f720833171c1db08a3984fb9b,,,,230
WARNING_SIGNS,W12-2a,1,WARNING_SIGNS/W12-2a.png,image,1,693,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image555.png,rId718,,True,230,70,646a1494e9d6652048ef91018b3bdc54faf2f0a7b653c713ae30469e55ea7197,,,,230
WARNING_SIGNS,W12-2a,2,WARNING_SIGNS/W12-2a__2.png,notes,1,693,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image552.png,rId719,,True,154,55,c2c484cf039a91172c9903750df116f5156e3a22c408f4c2d5ac587804d40478,,,,154
WARNING_SIGNS,W12-2a,3,WARNING_SIGNS/W12-2a__3.png,notes,2,693,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image553.png,rId720,,True,241,55,f5c3caa892068b938a58ac34a8d24d7c762b067e5cf23af5c51d282f118f2b47,,,,241
WARNING_SIGNS,W12-2b,1,WARNING_SIGNS/W12-2b.png,image,1,694,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image584.png,rId721,,True,230,54,2ae20b54fe67386baa67608672ab9538d98417ab9590a6ebe7a64a7c7e8eceaf,,,,230
WARNING_SIGNS,W13-1P,1,WARNING_SIGNS/W13-1P.png,image,1,695,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image580.png,rId722,,True,230,227,03e33b61acde0b344e8d6fb07012086d7423dae940f62c6390d3ed5b4a1ddb15,,,,230
WARNING_SIGNS,W13-1aP,1,WARNING_SIGNS/W13-1aP.png,image,1,696,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image589.png,rId723,,True,230,76,b0c078c14f3b114c6a28111e633bdd8309289586992eb351e68007f43dadf669,,,,230
WARNING_SIGNS,W13-2,1,WARNING_SIGNS/W13-2.png,image,1,697,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image586.png,rId724,,True,230,285,f2cd4011046f99c3d94b357d90fe4f4ebab5ff51d3e664b653409eae0a145fe8,,,,285
